gene_id	GTEX-OHPK-2326-SM-3MJH2	GTEX-PLZ4-2326-SM-EYYV5	GTEX-S32W-1326-SM-4AD5Q	GTEX-S341-0826-SM-4AD73	GTEX-SE5C-0926-SM-4BRUF	GTEX-T5JW-0326-SM-4DM6J	GTEX-T6MO-1026-SM-4DM72	GTEX-TSE9-2326-SM-EZ6ME	GTEX-U3ZN-1126-SM-4DXUL
ENSG00000269978.1	0.5071	1.806	1.204	0.1924	0.4759	0.3952	5.446	0.4042	0.8596
ENSG00000049245.12	140.4	142.3	94.58	129	103.4	120.1	124.6	131	67.66
ENSG00000269925.1	2.756	10.91	10.79	2.092	0.485	3.491	4.316	8.604	4.818
ENSG00000049246.14	11.06	29.14	17.35	24.53	8.677	17.62	40.01	29.83	33.96
ENSG00000236266.1	0.671	2.715	1.274	0.9054	1.119	1.162	1.601	6.339	2.401
ENSG00000049247.13	0	0	0.2089	0.1113	0	0.05717	0.1313	0.6626	0
ENSG00000049249.8	0.02673	0.01693	0.0203	0.06493	1.274	0.06667	0.1148	0.03409	0.06344
ENSG00000270330.1	0.1907	0	0	0	0	0	0	0	0
ENSG00000116288.12	207	261	234.1	176.3	218.9	247.5	184.7	226.9	162.1
ENSG00000200344.1	0	0	1.872	0.4988	0	1.025	0.5882	0	0.5571
ENSG00000116285.12	156.7	135.1	74.22	176.8	114.4	123.4	172.3	151.6	43.19
ENSG00000238290.1	0.3809	0.5506	0.2515	0.4525	0.06216	0.3098	0.741	0.9152	0.3088
ENSG00000232848.1	0	0.134	0.08034	0	0	0.06596	0	0	0.07173
ENSG00000229305.1	0	0	0	0	0	0.09817	0	0	0.1068
ENSG00000227634.2	0	0.2821	0	0	0	0	0.1275	0	0.1208
ENSG00000200975.1	0	0	0	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0	0	0	0
ENSG00000162426.14	15.26	15.49	10.86	9.722	6.608	12.61	17.55	14.2	5.133
ENSG00000252254.1	0.2995	0	1.138	0.9094	0	0	0	0.6367	0
ENSG00000142599.17	109.1	132.5	86.97	76.22	48.78	80.26	122.4	76.85	76.71
ENSG00000232912.5	1.88	2.061	4.303	2.854	0.9955	2.781	2.848	2.203	2.289
ENSG00000221083.1	0	0.4287	0	0	0	0	0	0	0
ENSG00000270282.1	0.09173	0.4357	0	0.557	0.3443	0	0.3284	0	0
ENSG00000234619.1	0.1029	0.08145	0	0.07809	0	0	0.09207	0	0
ENSG00000224315.2	0.2407	0.1525	0	0	0	0	0.08618	0.1535	0
ENSG00000222511.2	0	0	0	0	0	0	0	0	0
ENSG00000226545.1	0	0	0	0	0	0	0	0	0.2765
ENSG00000228423.2	0	0	0.1821	0	0	0.1495	0	0	0
ENSG00000229716.2	0	0	0	0	0.1722	0	0.1642	0	0
ENSG00000074800.13	428.6	396.4	597.4	306.7	1051	627.1	402	379.5	499.2
ENSG00000274258.1	0	0	0.7221	0	0	0	0	0.4042	0
ENSG00000236269.1	0.4094	0.2881	0.6047	0	0.5123	0.4964	0.1629	0.7736	0.07712
ENSG00000230679.1	1.333	0.3248	1.363	1.09	0.385	3.198	0.1836	0.6541	4.869
ENSG00000201725.1	0	0	0	0	0	0	0	0	0.5363
ENSG00000238249.2	0.04555	0.2885	0.173	0	0	0	0.08154	0	0.07723
ENSG00000232208.2	0	0	0	0	0	0	0	0	0
ENSG00000232663.2	0	0	0	0	0	0	0	0	0
ENSG00000131686.14	0	0.04026	0	0	0.02387	0	0	0	0.02156
ENSG00000265141.2	0	0	0	0	0	0	0	0	0
ENSG00000197241.3	0	0	0	0.03339	0	0	0	0.04675	0.07457
ENSG00000142583.17	0.8002	2.273	4.294	1.191	8.101	2.229	1.747	2.486	3.606
ENSG00000252404.1	0	0	0	0	0	0	0	0	0
ENSG00000180758.11	6.043	7.298	6.14	6.402	8.603	5.943	9.229	4.844	3.553
ENSG00000228526.6	5.325	6.436	30.51	10.44	21.17	9.519	17.3	14.18	36.58
ENSG00000234546.3	1.375	2.96	2.454	1.544	1.135	1.372	1.181	4.442	8.157
ENSG00000281937.1	0.07675	0.1823	0.3279	0.2913	0.4682	0.05982	0.1374	0.3467	0.6831
ENSG00000049239.12	71.94	46.37	65.06	94.64	94.97	67.87	104.7	65.64	38.12
ENSG00000171621.13	75.25	41.26	34.77	31.4	81.06	31.93	51.93	26.16	27.52
ENSG00000252956.1	0	0	0	0	0	0	0	0	0
ENSG00000235263.1	0.09561	0	0	0	0	0	0	0	0
ENSG00000171612.6	5.313	4.881	6.137	7.372	9.182	8.584	7.608	5.171	3.469
ENSG00000231181.1	0.3027	0.3835	0.9198	2.022	0.9092	0.9439	1.409	0.5148	1.232
