Gene stable ID,Transcript stable ID,Gene type
ENSG00000288501,ENST00000673262,protein_coding
ENSG00000288347,ENST00000673320,protein_coding
ENSG00000288478,ENST00000673341,protein_coding
ENSG00000288461,ENST00000671714,protein_coding
ENSG00000288214,ENST00000672592,protein_coding
ENSG00000288344,ENST00000672044,protein_coding
ENSG00000071991,ENST00000262150,protein_coding
ENSG00000288440,ENST00000672077,protein_coding
ENSG00000288517,ENST00000671980,protein_coding
ENSG00000288188,ENST00000672700,protein_coding
ENSG00000187498,ENST00000375820,protein_coding
ENSG00000288364,ENST00000672164,protein_coding
ENSG00000288375,ENST00000672147,protein_coding
ENSG00000288429,ENST00000671749,protein_coding
ENSG00000288133,ENST00000671688,protein_coding
ENSG00000288270,ENST00000672807,protein_coding
ENSG00000288137,ENST00000671739,protein_coding
ENSG00000288280,ENST00000672119,protein_coding
ENSG00000288480,ENST00000671918,protein_coding
ENSG00000292284,ENST00000710711,protein_coding
ENSG00000288202,ENST00000672642,protein_coding
ENSG00000288350,ENST00000672777,protein_coding
ENSG00000288382,ENST00000673025,protein_coding
ENSG00000288265,ENST00000672928,protein_coding
ENSG00000288113,ENST00000672425,protein_coding
ENSG00000288164,ENST00000671913,protein_coding
ENSG00000288190,ENST00000672738,protein_coding
ENSG00000288313,ENST00000672016,protein_coding
ENSG00000288345,ENST00000672095,protein_coding
ENSG00000288282,ENST00000672283,protein_coding
ENSG00000288465,ENST00000671690,protein_coding
ENSG00000288142,ENST00000673556,protein_coding
ENSG00000288469,ENST00000671884,protein_coding
ENSG00000288193,ENST00000671806,protein_coding
ENSG00000288165,ENST00000673017,protein_coding
ENSG00000288413,ENST00000672082,protein_coding
ENSG00000175329,ENST00000404699,protein_coding
ENSG00000288483,ENST00000673272,protein_coding
ENSG00000288432,ENST00000672276,protein_coding
ENSG00000288286,ENST00000671750,protein_coding
ENSG00000288419,ENST00000671985,protein_coding
