TF_gene,tissue_brain,TF_transcript_id_brain,target_gene_brain,target_transcript_id_brain,importance_brain,brain_percentage,brain_opposite_percentage,tissue_kidney,TF_transcript_id_kidney,target_gene_kidney,target_transcript_id_kidney,importance_kidney,kidney_percentage,kidney_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
MSTO1,brain,MSTO1-201,ZSCAN18,ZSCAN18-203,4.993749802602085,0.0,0.0,kidney,0,GTF2IRD1,GTF2IRD1-202,4.767452825744984,0.6566044155451385,0.3433955844548615,-4.41432437923018,Downregulated,False
ZFYVE19,brain,0,AIP,AIP-201,4.986517438384971,0.0,0.0,kidney,0,ZNF263,ZNF263-201,6.581000032470189,0.41515246897683156,0.5848475310231684,0.0,0,False
INF2,brain,INF2-210,E2F1,E2F1-201,4.985979284229323,0.0,0.0,kidney,0,WWTR1,WWTR1-203,4.333278569173089,0.5821632319369551,0.4178367680630449,-5.044247376395,Downregulated,False
GUCY1B1,brain,0,CAMTA1,CAMTA1-201,4.985507233533867,0.0,0.0,kidney,0,NFIX,NFIX-202,4.621040029293955,0.10337512054001928,0.8966248794599807,-1.77090266372602,Downregulated,False
UQCRQ,brain,0,PARK7,PARK7-201,4.984597786013582,0.0,0.0,kidney,0,NR1H4,NR1H4-208,5.537688842223167,0.0,0.0,0.0,0,False
BOLA3,brain,BOLA3-201,DRAP1,DRAP1-201,4.984507670796298,0.0,0.0,kidney,0,RNF14,RNF14-203,5.205705595605798,0.3502539734556776,0.6497460265443225,-6.78083381297011,Downregulated,False
YPEL4,brain,0,PRDM2,PRDM2-204,4.984442764166996,0.0,0.0,kidney,0,GTF2IRD1,GTF2IRD1-205,4.344466202186501,0.6043780193236712,0.3956219806763288,-4.38435015743733,Downregulated,False
SDHD,brain,SDHD-201,TSG101,TSG101-201,4.975844116957322,0.0,0.0,kidney,0,NR1H4,NR1H4-208,6.743055336314478,0.0,0.0,-7.59456370698565,Downregulated,False
ZMYND10,brain,ZMYND10-209,FOXJ1,FOXJ1-201,4.968429843099501,0.0,0.0,kidney,ZMYND10-204,CREBBP,CREBBP-201,5.705716631549923,0.4415698760249729,0.5584301239750271,-2.13752054088471,Downregulated,False
ATP6V0D1,brain,0,PIN1,PIN1-201,4.964796913046554,0.0,0.0,kidney,0,NFYA,NFYA-201,4.6814459746155,0.32140179436418004,0.67859820563582,0.0,0,False
