TF_gene,tissue_cervix_ectocervix,TF_transcript_id_cervix_ectocervix,target_gene_cervix_ectocervix,target_transcript_id_cervix_ectocervix,importance_cervix_ectocervix,cervix_ectocervix_percentage,cervix_ectocervix_opposite_percentage,tissue_fallopian_tube,TF_transcript_id_fallopian_tube,target_gene_fallopian_tube,target_transcript_id_fallopian_tube,importance_fallopian_tube,fallopian_tube_percentage,fallopian_tube_opposite_percentage,log2FoldChange,regulation_status,is_common_TF
MLX,cervix_ectocervix,MLX-203,SLC25A25,SLC25A25-203,5.462978158017387,0.4938738738738738,0.5061261261261262,fallopian_tube,MLX-203,ZCCHC9,ZCCHC9-202,4.424699962874397,0.5061261261261262,0.4938738738738738,0.0,0,True
MAX,cervix_ectocervix,MAX-204,TRIM35,0,5.4576200438447815,0.4324958080067072,0.5675041919932928,fallopian_tube,MAX-204,PKM,PKM-202,3.545066032748795,0.5675041919932927,0.4324958080067073,0.0,0,True
ZBTB22,cervix_ectocervix,ZBTB22-208,NOP58,0,5.42446169194946,0.5402250410889629,0.45977495891103715,fallopian_tube,ZBTB22-208,ADAM15,ADAM15-224,4.171834414843427,0.45977495891103715,0.5402250410889629,0.0,0,True
NR1H2,cervix_ectocervix,NR1H2-201,IGFBP6,IGFBP6-204,5.342833632952368,0.4883124113752816,0.5116875886247184,fallopian_tube,NR1H2-201,NHP2,NHP2-201,3.970361850950122,0.5116875886247184,0.4883124113752816,0.0,0,True
FOXP1,cervix_ectocervix,FOXP1-218,CHCHD1,0,5.334746630705228,0.4506471995583094,0.5493528004416905,fallopian_tube,FOXP1-218,TMEM185A,0,3.198057870453107,0.5493528004416907,0.45064719955830934,0.0,0,True
ATF6B,cervix_ectocervix,ATF6B-210,ZNF524,0,5.31440400897922,0.49586884055151303,0.504131159448487,fallopian_tube,ATF6B-210,EEF1AKMT1,0,3.53462096426877,0.504131159448487,0.49586884055151303,0.0,0,True
XBP1,cervix_ectocervix,XBP1-202,POLR2E,POLR2E-206,5.309474358613464,0.4978448925460409,0.5021551074539591,fallopian_tube,XBP1-201,SOX18,SOX18-201,5.592100202639008,0.6933066933066933,0.30669330669330674,0.0,0,True
ZNF335,cervix_ectocervix,ZNF335-201,FUCA1,0,5.2821879383280175,0.4757274810750746,0.5242725189249253,fallopian_tube,ZNF335-201,AMIGO2,0,4.221521733321193,0.5242725189249253,0.4757274810750747,0.0,0,True
NFKB2,cervix_ectocervix,NFKB2-201,SRSF8,SRSF8-202,5.193599246583116,0.47218747700684266,0.5278125229931574,fallopian_tube,NFKB2-201,FLII,0,4.067713277550161,0.5278125229931573,0.4721874770068427,0.0,0,True
PARK7,cervix_ectocervix,PARK7-208,CHTF8,0,5.183878761248883,0.4740619430663263,0.5259380569336737,fallopian_tube,PARK7-208,SLC25A46,SLC25A46-207,4.132248968790255,0.5259380569336737,0.4740619430663263,0.0,0,True
KMT2B,cervix_ectocervix,KMT2B-202,FBXW9,0,5.145387830504301,0.46315652794910084,0.5368434720508992,fallopian_tube,KMT2B-204,YBEY,0,4.003533244506651,0.0,0.0,5.31536518072205,Upregulated,True
RFXANK,cervix_ectocervix,RFXANK-203,ISOC2,ISOC2-202,5.145305897762445,0.4223039215686275,0.5776960784313725,fallopian_tube,RFXANK-202,RPL7A,RPL7A-201,3.2647724347773583,0.0,0.0,5.74487029249417,Upregulated,True
IRF1,cervix_ectocervix,IRF1-202,TRIT1,TRIT1-201,5.118228802580828,0.4378142076502732,0.5621857923497269,fallopian_tube,IRF1-202,MED8,MED8-203,3.8682042160821535,0.5621857923497268,0.43781420765027323,0.0,0,True
LDB1,cervix_ectocervix,LDB1-201,RARG,RARG-201,5.105350389438359,0.5620548987070456,0.4379451012929544,fallopian_tube,LDB1-201,SLC23A2,SLC23A2-201,4.245597593699447,0.4379451012929545,0.5620548987070455,0.0,0,True
SLC2A4RG,cervix_ectocervix,SLC2A4RG-208,KLHDC8B,KLHDC8B-201,5.0518683209626,0.49491889162406105,0.505081108375939,fallopian_tube,SLC2A4RG-208,GCSH,0,3.597254132504164,0.5050811083759389,0.4949188916240611,0.0,0,True
MTA1,cervix_ectocervix,MTA1-211,RPL7A,RPL7A-204,4.971159733592953,0.40462705436156765,0.5953729456384323,fallopian_tube,MTA1-210,HOXA7,0,3.561034626639461,0.0,0.0,5.47757981829211,Upregulated,True
GTF2I,cervix_ectocervix,GTF2I-208,LPCAT4,LPCAT4-204,4.954932795855607,0.5350729794734935,0.4649270205265065,fallopian_tube,GTF2I-208,QSOX1,QSOX1-204,3.6327095096453865,0.46492702052650653,0.5350729794734934,0.0,0,True
EGR1,cervix_ectocervix,EGR1-201,ERLIN1,0,4.936212493800209,0.05781146372477203,0.942188536275228,fallopian_tube,EGR1-201,TRIM5,0,3.2417697317311185,0.9421885362752279,0.05781146372477208,3.89416695026104,Upregulated,True
KDM5C,cervix_ectocervix,KDM5C-204,DPAGT1,0,4.928177223261318,0.5298326346644814,0.4701673653355186,fallopian_tube,KDM5C-205,SLC25A12,0,3.3190698953721003,0.5490849765924245,0.4509150234075755,0.0,0,True
PARP10,cervix_ectocervix,PARP10-201,CAPNS1,0,4.917626609571239,0.44389445531116517,0.5561055446888348,fallopian_tube,PARP10-201,JRKL,0,3.5277169801156734,0.5561055446888348,0.4438944553111652,0.0,0,True
MAZ,cervix_ectocervix,MAZ-203,FOXP4,FOXP4-201,4.883381493704178,0.46653149891383056,0.5334685010861695,fallopian_tube,MAZ-201,PNPLA6,PNPLA6-215,4.419266218240575,0.5096303097877178,0.49036969021228216,0.0,0,True
JUN,cervix_ectocervix,JUN-201,RPS18,RPS18-232,4.847651024337516,0.32949968745301905,0.670500312546981,fallopian_tube,JUN-201,NFIC,0,3.286260868219616,0.670500312546981,0.32949968745301905,0.0,0,True
HMGB2,cervix_ectocervix,HMGB2-202,CCT6A,CCT6A-203,4.834296307218917,0.46595229596983184,0.5340477040301681,fallopian_tube,HMGB2-202,NECTIN2,NECTIN2-202,4.867234019683362,0.5340477040301681,0.4659522959698319,0.0,0,True
IRF9,cervix_ectocervix,IRF9-208,MT-ND1,0,4.832126134311519,0.5365345869711216,0.46346541302887845,fallopian_tube,IRF9-215,PIGZ,0,3.536947543673312,0.4992343604108311,0.5007656395891689,0.0,0,True
NFYA,cervix_ectocervix,NFYA-201,CDH24,0,4.8181718219631104,0.5134187082405346,0.4865812917594654,fallopian_tube,NFYA-201,MTG2,MTG2-210,3.709015328417764,0.4865812917594655,0.5134187082405345,0.0,0,True
